section,day,subject,start_time,end_time,room,professor
I1,Fri,MPWS,13:30,14:30,DG-06,FS
I1,Fri,CAMD,13:30,15:30,CF-02,VS
I2,Fri,BME,09:30,10:30,CS-05,YS
I2,Fri,PH,10:30,11:30,CS-05,MP
I2,Fri,CAMD,12:30,13:30,CF-03,VS
I2,Fri,MPWS,13:30,14:30,DG-06,FS
I2,Fri,CAMD,13:30,15:30,CF-02,VS
I1,Sat,PH,08:30,09:30,CF-14,MP
I1,Sat,M,09:30,10:30,CF-14,MNM
I1,Sat,CAMD,13:30,14:30,CF-01,VS
I1,Sat,MPWS,13:30,15:30,DG-06,AS
I2,Sat,PH,08:30,09:30,CF-14,MP
I2,Sat,M,09:30,10:30,CF-14,MNM
I2,Sat,CAMD,13:30,14:30,CF-01,VS
I2,Sat,MPWS,13:30,15:30,DG-06,AS
J1,Mon,PH LAB,08:30,10:30,CF-11,SG
J1,Mon,BEE,11:30,12:30,CS-05,RS
J1,Mon,LG LAB,13:30,14:30,CS-23,SK
J1,Mon,SWAYAM/NPTEL,14:30,15:30,,
J2,Mon,EE LAB,08:30,10:30,BLG-18,RS
J2,Mon,BEE,11:30,12:30,CS-05,RS
J2,Mon,LG LAB,13:30,14:30,CS-23,SK
J2,Mon,SWAYAM/NPTEL,14:30,15:30,,
J1,Tue,PH LAB,08:30,10:30,CF-11,SG
J1,Tue,BEE,11:30,12:30,CG-09,RS
J1,Tue,M,11:30,12:30,CF-14,MNM
J1,Tue,Sports-I,11:30,12:30,,
J2,Tue,EE LAB,08:30,10:30,BLG-18,RS
J2,Tue,BEE,11:30,12:30,CG-09,RS
J2,Tue,M,11:30,12:30,CF-14,MNM
J2,Tue,Sports-I,11:30,12:30,,
J1,Wed,M,08:30,09:30,CS-05,MNM
J1,Wed,CAMD,09:30,10:30,CS-05,SS
J1,Wed,CAMD,10:30,11:30,CS-17,SS
J1,Wed,MPWS,10:30,11:30,DG-06,AS
J1,Wed,PH,13:30,14:30,CF-07,MP
J2,Wed,M,08:30,09:30,CS-05,MNM
J2,Wed,CAMD,09:30,10:30,CS-05,SS
J2,Wed,CAMD,10:30,11:30,CS-17,SS
